Date,Zurich Insurance Group AG,Lonza Group AG,Givaudan SA,Swiss Life Holding AG,Geberit AG
2024-01-03,418.6407470703125,347.43865966796875,3355.479736328125,550.543701171875,504.2343444824219
2024-01-04,414.201171875,347.9348449707031,3310.24169921875,553.9644165039062,505.7936096191406
2024-01-05,413.35107421875,340.7895812988281,3278.771728515625,552.444091796875,506.1834716796875
2024-01-08,412.9732360839844,346.04931640625,3299.423828125,559.2854614257812,507.74273681640625
2024-01-09,414.6734924316406,353.7900085449219,3326.960205078125,559.4755249023438,509.302001953125
2024-01-10,411.7452697753906,361.53070068359375,3339.744873046875,558.145263671875,503.06488037109375
2024-01-11,408.8170471191406,366.49267578125,3319.092529296875,553.394287109375,497.60736083984375
2024-01-12,412.6898498535156,365.59954833984375,3340.728271484375,557.5751342773438,505.59869384765625
2024-01-15,414.6734924316406,367.7828369140625,3332.86083984375,563.4663696289062,502.8699645996094
2024-01-16,417.88507080078125,366.9888916015625,3345.645263671875,568.9774780273438,503.06488037109375
2024-01-17,410.2339172363281,356.1717529296875,3300.407470703125,554.7245483398438,478.3111877441406
2024-01-18,406.36114501953125,361.2330017089844,3287.622802734375,554.344482421875,474.6078796386719
2024-01-19,410.13946533203125,358.7519836425781,3291.556396484375,554.9146118164062,475.8747863769531
2024-01-22,417.31829833984375,370.0653381347656,3308.27490234375,566.5070190429688,484.3534240722656
2024-01-23,414.5790100097656,370.8592529296875,3246.318359375,567.2671508789062,482.6966857910156
2024-01-24,416.94049072265625,378.5007019042969,3262.053466796875,574.298583984375,485.133056640625
2024-01-25,417.31829833984375,367.4850769042969,3533.4814453125,576.198974609375,488.4465637207031
2024-01-26,418.16845703125,420.28070068359375,3578.719482421875,579.8097534179688,493.3193359375
2024-01-29,419.39642333984375,431.29632568359375,3623.95751953125,581.5200805664062,490.20074462890625
2024-01-30,414.1067199707031,429.3115234375,3563.968017578125,589.5017700195312,493.904052734375
2024-01-31,414.7679443359375,421.57080078125,3549.21630859375,590.4519653320312,487.4720153808594
2024-02-01,408.439208984375,424.4487609863281,3555.116943359375,583.4204711914062,486.7898254394531
2024-02-02,413.0676574707031,427.12823486328125,3520.69677734375,587.7913208007812,482.5992431640625
2024-02-05,416.279296875,440.9225769042969,3536.431640625,588.1714477539062,479.77301025390625
2024-02-06,415.42913818359375,443.8997497558594,3551.183349609375,589.3117065429688,483.0865173339844
2024-02-07,416.94049072265625,433.1818542480469,3614.123046875,584.9407348632812,482.8916015625
2024-02-08,408.72259521484375,441.71649169921875,3584.6201171875,581.1399536132812,482.79412841796875
2024-02-09,406.0777282714844,441.0218200683594,3531.5146484375,580.9500122070312,479.9679260253906
2024-02-12,408.3447265625,443.403564453125,3547.24951171875,588.7415161132812,495.8531494140625
2024-02-13,412.1230773925781,438.6400451660156,3555.116943359375,589.3117065429688,486.4974670410156
2024-02-14,413.1621398925781,459.0834655761719,3614.123046875,591.7821655273438,491.9549255371094
2024-02-15,417.1294250488281,454.9153747558594,3601.33837890625,599.5737915039062,492.92950439453125
2024-02-16,416.94049072265625,453.6252746582031,3606.255615234375,606.2251586914062,499.361572265625
2024-02-19,416.0903625488281,452.53363037109375,3642.642822265625,608.6956787109375,496.6328125
2024-02-20,419.30194091796875,450.8465576171875,3681.97998046875,616.4873046875,498.7768249511719
2024-02-21,422.32464599609375,450.350341796875,3669.195556640625,613.63671875,501.7004699707031
2024-02-22,433.4707336425781,455.90777587890625,3688.8642578125,614.0167846679688,502.4801025390625
2024-02-23,437.34356689453125,460.07586669921875,3728.20166015625,616.4873046875,510.4714660644531
2024-02-26,439.5160827636719,457.9918212890625,3752.787353515625,607.935546875,504.8190612792969
2024-02-27,439.23272705078125,460.4728088378906,3683.947021484375,604.7048950195312,505.4037780761719
2024-02-28,444.33349609375,460.67132568359375,3654.44384765625,605.8450927734375,498.3869934082031
2024-02-29,443.9556579589844,458.488037109375,3645.593017578125,609.6458740234375,500.1412048339844
2024-03-01,441.1219177246094,462.0606689453125,3648.543212890625,612.1163940429688,504.6241455078125
2024-03-04,439.70501708984375,459.87738037109375,3638.708984375,613.4466552734375,504.4292297363281
2024-03-05,444.14459228515625,451.7397155761719,3638.708984375,616.6773681640625,501.3106994628906
2024-03-06,448.0173645019531,450.7473449707031,3698.698486328125,619.337890625,508.5223693847656
2024-03-07,452.26800537109375,462.2591247558594,3797.0419921875,617.6275634765625,509.69183349609375
2024-03-08,451.89019775390625,461.0682678222656,3838.34619140625,620.2880859375,513.2001953125
2024-03-11,455.9519348144531,454.7169189453125,3873.75,619.5279541015625,513.2001953125
2024-03-12,458.4078369140625,455.0146179199219,3910.136962890625,626.3693237304688,523.9202880859375
2024-03-13,460.2969970703125,467.61810302734375,3908.170166015625,632.8306884765625,512.8104248046875
2024-03-14,459.63580322265625,479.6260986328125,3911.120361328125,599.1937255859375,510.861328125
2024-03-15,459.63580322265625,470.39678955078125,3950.457763671875,603.5646362304688,515.34423828125
2024-03-18,458.59674072265625,474.36639404296875,3998.646240234375,599.0037231445312,513.5900268554688
2024-03-19,459.3524169921875,478.53448486328125,4017.331298828125,603.1845703125,516.903564453125
2024-03-20,461.05267333984375,505.7261962890625,4033.06640625,610.4060668945312,527.0388793945312
2024-03-21,458.69122314453125,519.2228393554688,4034.0498046875,616.4873046875,531.7167358398438
2024-03-22,458.0299987792969,525.7726440429688,4037.0,608.8857421875,521.7763061523438
2024-03-25,458.3133850097656,522.0015258789062,4066.0,593.3025512695312,516.3187866210938
2024-03-26,458.5022888183594,529.7421875,4034.0,596.1531372070312,519.63232421875
2024-03-27,458.12445068359375,531.330078125,4015.0,599.9539184570312,519.242431640625
2024-03-28,459.3524169921875,536.0935668945312,4016.0,600.7140502929688,519.4373779296875
2024-04-02,456.8020324707031,528.9483032226562,4023.0,599.1937255859375,508.9122009277344
2024-04-03,451.79571533203125,539.6661987304688,4055.0,598.8136596679688,514.759521484375
2024-04-04,452.4569396972656,545.025146484375,3956.0,591.4021606445312,510.0816955566406
2024-04-05,447.3561706542969,542.4448852539062,3947.0,587.9813842773438,506.9631042480469
2024-04-08,449.0564270019531,553.5597534179688,3970.0,596.3431396484375,509.69183349609375
2024-04-09,444.7113342285156,540.8570556640625,3977.0,593.6825561523438,505.20892333984375
2024-04-10,448.7730712890625,531.330078125,4031.0,593.1124877929688,494.87860107421875
2024-04-11,443.20001220703125,536.0935668945312,4005.0,587.7913208007812,497.4124450683594
2024-04-12,451.5,530.93310546875,3916.0,590.2619018554688,490.0058288574219
2024-04-15,453.70001220703125,529.940673828125,3895.0,592.5423583984375,494.4888000488281
2024-04-16,445.6000061035156,522.2000122070312,3880.0,582.4702758789062,486.88726806640625
2024-04-17,445.70001220703125,518.4288940429688,3878.0,581.1399536132812,485.81524658203125
2024-04-18,443.0,506.3216247558594,3902.0,577.9093627929688,486.3999938964844
2024-04-19,448.3999938964844,498.9778747558594,3951.0,580.7599487304688,485.5
2024-04-22,451.3999938964844,502.94744873046875,3945.0,585.1307983398438,485.1000061035156
2024-04-23,453.79998779296875,522.3984985351562,3979.0,595.7730102539062,491.3999938964844
2024-04-24,446.29998779296875,518.8258056640625,4007.0,591.9722290039062,489.6000061035156
2024-04-25,442.6000061035156,509.8942565917969,3926.0,581.7101440429688,483.20001220703125
2024-04-26,439.8999938964844,523.787841796875,3962.0,587.0311889648438,495.5
2024-04-29,444.29998779296875,518.4288940429688,3940.0,591.9722290039062,498.70001220703125
2024-04-30,444.20001220703125,506.5201110839844,3946.0,590.0718383789062,493.6000061035156
2024-05-02,440.70001220703125,510.0927429199219,3961.0,583.4204711914062,491.79998779296875
2024-05-03,439.0,515.650146484375,3992.0,591.9722290039062,506.20001220703125
2024-05-06,446.0,514.4592895507812,3989.0,600.9041137695312,515.2000122070312
2024-05-07,451.6000061035156,516.24560546875,4072.0,607.5554809570312,539.2000122070312
2024-05-08,455.5,522.3984985351562,4080.0,607.7454833984375,549.5999755859375
2024-05-10,457.3999938964844,522.2000122070312,4053.0,616.4873046875,550.5999755859375
2024-05-13,455.1000061035156,516.4000244140625,4104.0,617.2474365234375,550.0
2024-05-14,452.5,507.3999938964844,4066.0,618.7677612304688,555.0
2024-05-15,453.29998779296875,532.2000122070312,4112.0,621.9984130859375,566.2000122070312
2024-05-16,469.1000061035156,527.4000244140625,4107.0,629.5999755859375,565.5999755859375
2024-05-17,471.79998779296875,529.2000122070312,4180.0,626.5999755859375,561.4000244140625
2024-05-21,472.79998779296875,507.79998779296875,4196.0,629.2000122070312,558.2000122070312
2024-05-22,471.6000061035156,510.6000061035156,4177.0,616.4000244140625,561.4000244140625
2024-05-23,471.70001220703125,512.0,4239.0,625.0,564.7999877929688
2024-05-24,470.0,515.2000122070312,4225.0,630.7999877929688,568.7999877929688
2024-05-27,472.3999938964844,512.7999877929688,4252.0,634.7999877929688,568.5999755859375
2024-05-28,468.70001220703125,495.20001220703125,4219.0,631.0,560.5999755859375
2024-05-29,471.0,482.5,4211.0,623.0,554.2000122070312
2024-05-30,469.20001220703125,488.6000061035156,4204.0,621.4000244140625,556.4000244140625
2024-05-31,473.70001220703125,486.3999938964844,4237.0,627.7999877929688,550.4000244140625
2024-06-03,474.0,484.79998779296875,4214.0,625.5999755859375,552.2000122070312
2024-06-04,470.29998779296875,492.29998779296875,4263.0,625.4000244140625,548.4000244140625
2024-06-05,474.6000061035156,499.0,4328.0,633.7999877929688,552.7999877929688
2024-06-06,478.8999938964844,506.3999938964844,4324.0,640.5999755859375,556.0
2024-06-07,479.6000061035156,500.20001220703125,4314.0,637.4000244140625,550.7999877929688
2024-06-10,476.3999938964844,501.0,4362.0,631.5999755859375,551.7999877929688
2024-06-11,470.3999938964844,495.1000061035156,4356.0,628.5999755859375,547.5999755859375
2024-06-12,474.29998779296875,485.1000061035156,4360.0,636.4000244140625,554.0
2024-06-13,472.8999938964844,481.1000061035156,4335.0,635.2000122070312,550.0
2024-06-14,471.3999938964844,480.29998779296875,4296.0,632.2000122070312,542.2000122070312
2024-06-17,475.6000061035156,472.79998779296875,4310.0,637.5999755859375,541.2000122070312
2024-06-18,479.6000061035156,477.0,4323.0,647.4000244140625,544.0
2024-06-19,482.70001220703125,473.3999938964844,4275.0,647.7999877929688,537.2000122070312
2024-06-20,486.0,480.6000061035156,4325.0,654.4000244140625,544.2000122070312
2024-06-21,482.79998779296875,477.20001220703125,4314.0,653.7999877929688,537.5999755859375
2024-06-24,487.20001220703125,487.1000061035156,4349.0,656.0,547.4000244140625
2024-06-25,485.29998779296875,483.6000061035156,4347.0,653.7999877929688,540.4000244140625
2024-06-26,480.20001220703125,486.29998779296875,4340.0,654.0,541.0
2024-06-27,480.1000061035156,486.79998779296875,4351.0,658.4000244140625,537.2000122070312
2024-06-28,479.1000061035156,490.3999938964844,4260.0,660.5999755859375,530.7999877929688
2024-07-01,482.79998779296875,488.3999938964844,4302.0,669.2000122070312,529.2000122070312
2024-07-02,476.79998779296875,486.5,4282.0,660.2000122070312,531.0
2024-07-03,473.0,496.8999938964844,4309.0,652.7999877929688,538.5999755859375
2024-07-04,474.6000061035156,498.79998779296875,4319.0,659.5999755859375,543.0
2024-07-05,471.0,502.20001220703125,4257.0,659.4000244140625,540.2000122070312
2024-07-08,475.5,502.6000061035156,4305.0,669.0,539.4000244140625
2024-07-09,475.6000061035156,504.6000061035156,4372.0,669.4000244140625,536.2000122070312
2024-07-10,481.1000061035156,510.0,4335.0,679.7999877929688,540.4000244140625
2024-07-11,481.0,520.5999755859375,4362.0,677.5999755859375,552.5999755859375
2024-07-12,481.8999938964844,518.0,4375.0,676.2000122070312,556.4000244140625
2024-07-15,480.5,516.2000122070312,4290.0,676.7999877929688,550.7999877929688
2024-07-16,476.0,514.2000122070312,4294.0,674.0,558.7999877929688
2024-07-17,476.70001220703125,509.20001220703125,4217.0,671.4000244140625,555.7999877929688
2024-07-18,479.1000061035156,517.5999755859375,4227.0,671.4000244140625,561.7999877929688
2024-07-19,472.5,507.3999938964844,4233.0,667.7999877929688,557.0
2024-07-22,473.8999938964844,513.2000122070312,4296.0,676.5999755859375,563.5999755859375
2024-07-23,474.8999938964844,521.4000244140625,4130.0,675.4000244140625,568.2000122070312
2024-07-24,474.6000061035156,522.5999755859375,4201.0,671.0,553.4000244140625
2024-07-25,474.6000061035156,559.7999877929688,4190.0,664.7999877929688,547.5999755859375
2024-07-26,478.79998779296875,581.0,4196.0,669.5999755859375,553.4000244140625
2024-07-29,478.79998779296875,575.2000122070312,4221.0,669.7999877929688,551.4000244140625
2024-07-30,484.29998779296875,578.7999877929688,4244.0,673.2000122070312,559.5999755859375
2024-07-31,483.20001220703125,587.4000244140625,4307.0,673.7999877929688,560.4000244140625
2024-08-02,466.29998779296875,558.4000244140625,4197.0,649.7999877929688,530.2000122070312
2024-08-05,454.0,545.5999755859375,4086.0,626.7999877929688,520.0
2024-08-06,452.70001220703125,546.7999877929688,4070.0,627.0,515.2000122070312
2024-08-07,465.1000061035156,561.7999877929688,4140.0,643.4000244140625,526.7999877929688
2024-08-08,459.29998779296875,558.2000122070312,4143.0,645.4000244140625,524.5999755859375
2024-08-09,460.79998779296875,555.0,4184.0,648.2000122070312,526.5999755859375
2024-08-12,464.70001220703125,545.0,4137.0,652.2000122070312,522.7999877929688
2024-08-13,467.20001220703125,550.0,4122.0,655.5999755859375,523.0
2024-08-14,473.8999938964844,550.4000244140625,4160.0,662.5999755859375,528.2000122070312
2024-08-15,479.8999938964844,551.4000244140625,4168.0,667.7999877929688,518.5999755859375
2024-08-16,481.20001220703125,549.7999877929688,4186.0,671.0,520.4000244140625
2024-08-19,483.1000061035156,553.5999755859375,4192.0,674.7999877929688,527.7999877929688
2024-08-20,483.3999938964844,560.2000122070312,4174.0,673.7999877929688,526.2000122070312
2024-08-21,483.70001220703125,556.7999877929688,4188.0,668.4000244140625,526.0
2024-08-22,485.5,564.4000244140625,4191.0,673.4000244140625,528.0
2024-08-23,488.79998779296875,559.4000244140625,4207.0,677.4000244140625,533.5999755859375
2024-08-26,489.20001220703125,555.5999755859375,4204.0,677.7999877929688,536.2000122070312
2024-08-27,489.5,551.5999755859375,4198.0,675.0,530.7999877929688
2024-08-28,494.6000061035156,555.7999877929688,4354.0,681.2000122070312,531.5999755859375
2024-08-29,492.6000061035156,554.7999877929688,4373.0,683.0,536.4000244140625
2024-08-30,491.3999938964844,555.5999755859375,4356.0,686.0,541.0
2024-09-02,496.0,548.7999877929688,4348.0,687.7999877929688,543.5999755859375
2024-09-03,496.5,543.0,4414.0,695.4000244140625,541.5999755859375
2024-09-04,496.20001220703125,540.0,4458.0,688.0,530.7999877929688
2024-09-05,493.8999938964844,533.4000244140625,4366.0,694.0,524.7999877929688
2024-09-06,489.5,536.2000122070312,4409.0,692.4000244140625,519.5999755859375
2024-09-09,499.8999938964844,543.2000122070312,4497.0,698.2000122070312,525.0
2024-09-10,497.5,547.4000244140625,4491.0,697.2000122070312,527.4000244140625
2024-09-11,500.79998779296875,545.0,4527.0,695.4000244140625,527.0
2024-09-12,503.6000061035156,542.5999755859375,4544.0,697.5999755859375,535.0
2024-09-13,508.20001220703125,554.7999877929688,4552.0,697.0,541.4000244140625
2024-09-16,512.0,550.7999877929688,4557.0,699.7999877929688,540.2000122070312
2024-09-17,513.0,539.4000244140625,4538.0,706.5999755859375,550.5999755859375
2024-09-18,507.0,534.2000122070312,4456.0,701.5999755859375,546.0
2024-09-19,509.3999938964844,541.0,4470.0,708.2000122070312,557.2000122070312
2024-09-20,508.6000061035156,531.2000122070312,4506.0,704.0,548.5999755859375
2024-09-23,512.5999755859375,534.5999755859375,4537.0,708.2000122070312,549.5999755859375
2024-09-24,514.5999755859375,534.0,4553.0,712.4000244140625,551.4000244140625
2024-09-25,517.7999877929688,533.4000244140625,4670.0,714.5999755859375,563.0
2024-09-26,515.4000244140625,540.4000244140625,4609.0,711.7999877929688,559.5999755859375
2024-09-27,512.7999877929688,538.4000244140625,4610.0,711.4000244140625,561.0
2024-09-30,509.79998779296875,534.5999755859375,4640.0,706.0,551.4000244140625
2024-10-01,509.0,535.2000122070312,4588.0,701.7999877929688,547.2000122070312
2024-10-02,508.0,531.4000244140625,4550.0,697.0,547.4000244140625
2024-10-03,504.79998779296875,532.4000244140625,4505.0,694.4000244140625,535.7999877929688
2024-10-04,509.6000061035156,525.0,4434.0,698.5999755859375,529.0
2024-10-07,507.0,526.5999755859375,4389.0,695.2000122070312,528.7999877929688
2024-10-08,507.79998779296875,528.2000122070312,4445.0,700.5999755859375,530.7999877929688
2024-10-09,509.3999938964844,531.7999877929688,4418.0,705.4000244140625,528.4000244140625
2024-10-10,512.5999755859375,521.2000122070312,4437.0,706.2000122070312,522.7999877929688
2024-10-11,519.2000122070312,525.2000122070312,4430.0,709.7999877929688,522.4000244140625
2024-10-14,521.7999877929688,540.7999877929688,4504.0,715.0,525.0
2024-10-15,523.4000244140625,537.4000244140625,4462.0,716.2000122070312,524.0
2024-10-16,524.0,535.7999877929688,4394.0,723.2000122070312,523.5999755859375
2024-10-17,527.0,551.7999877929688,4324.0,724.5999755859375,524.5999755859375
2024-10-18,527.4000244140625,552.0,4342.0,722.4000244140625,532.4000244140625
2024-10-21,526.2000122070312,543.0,4289.0,717.4000244140625,526.2000122070312
2024-10-22,520.4000244140625,539.7999877929688,4240.0,709.0,515.7999877929688
2024-10-23,519.5999755859375,540.4000244140625,4220.0,709.0,513.7999877929688
2024-10-24,520.5999755859375,555.4000244140625,4189.0,717.5999755859375,513.5999755859375
2024-10-25,518.7999877929688,556.2000122070312,4194.0,711.5999755859375,517.2000122070312
2024-10-28,523.2000122070312,549.7999877929688,4193.0,715.2000122070312,521.5999755859375
2024-10-29,520.2000122070312,543.2000122070312,4180.0,717.5999755859375,518.0
2024-10-30,516.0,537.2000122070312,4149.0,713.2000122070312,516.5999755859375
2024-10-31,510.79998779296875,532.5999755859375,4097.0,704.4000244140625,540.7999877929688
2024-11-01,515.5999755859375,549.0,4133.0,713.4000244140625,535.4000244140625
2024-11-04,512.5999755859375,542.4000244140625,4099.0,713.5999755859375,533.0
2024-11-05,517.2000122070312,543.5999755859375,4049.0,716.0,529.4000244140625
2024-11-06,520.5999755859375,537.2000122070312,3917.0,729.0,514.5999755859375
2024-11-07,522.0,547.7999877929688,3901.0,728.2000122070312,520.7999877929688
2024-11-08,516.7999877929688,549.2000122070312,3904.0,725.5999755859375,519.7999877929688
2024-11-11,523.7999877929688,553.2000122070312,3964.0,725.5999755859375,522.7999877929688
2024-11-12,515.0,558.7999877929688,3894.0,711.4000244140625,523.0
2024-11-13,520.2000122070312,558.0,3834.0,722.2000122070312,517.7999877929688
2024-11-14,526.4000244140625,558.7999877929688,3842.0,718.5999755859375,524.7999877929688
2024-11-15,529.0,512.4000244140625,3774.0,716.4000244140625,524.5999755859375
2024-11-18,532.5999755859375,507.79998779296875,3813.0,721.5999755859375,522.2000122070312
2024-11-19,530.7999877929688,513.5999755859375,3870.0,716.7999877929688,518.2000122070312
2024-11-20,531.0,517.0,3863.0,723.0,516.7999877929688
2024-11-21,547.5999755859375,521.5999755859375,3919.0,727.2000122070312,516.5999755859375
2024-11-22,553.0,521.4000244140625,3933.0,733.5999755859375,526.7999877929688
2024-11-25,552.0,526.5999755859375,3901.0,725.4000244140625,526.2000122070312
2024-11-26,553.0,531.0,3883.0,719.4000244140625,521.7999877929688
2024-11-27,552.5999755859375,517.0,3880.0,717.7999877929688,523.7999877929688
2024-11-28,556.0,520.4000244140625,3868.0,721.5999755859375,525.2000122070312
2024-11-29,558.5999755859375,526.4000244140625,3881.0,721.7999877929688,530.4000244140625
2024-12-02,562.5999755859375,528.7999877929688,3903.0,724.4000244140625,534.0
2024-12-03,560.7999877929688,525.0,3908.0,690.4000244140625,545.5999755859375
2024-12-04,555.2000122070312,528.4000244140625,3907.0,686.0,552.7999877929688
2024-12-05,561.2000122070312,520.0,3914.0,692.7999877929688,545.0
2024-12-06,556.4000244140625,522.2000122070312,3948.0,691.0,547.0
2024-12-09,553.7999877929688,518.7999877929688,3902.0,689.0,545.5999755859375
2024-12-10,549.0,523.2000122070312,3972.0,683.2000122070312,539.2000122070312
2024-12-11,548.0,522.4000244140625,4040.0,691.7999877929688,547.7999877929688
2024-12-12,547.7999877929688,548.2000122070312,4041.0,687.2000122070312,547.0
2024-12-13,552.7999877929688,532.7999877929688,4021.0,693.5999755859375,538.2000122070312
2024-12-16,552.7999877929688,545.7999877929688,4035.0,689.2000122070312,538.0
2024-12-17,551.2000122070312,541.4000244140625,4061.0,692.0,533.7999877929688
2024-12-18,547.7999877929688,540.5999755859375,3961.0,689.0,528.5999755859375
2024-12-19,538.2000122070312,528.2000122070312,3907.0,689.4000244140625,516.5999755859375
2024-12-20,533.0,531.0,3917.0,688.4000244140625,514.2000122070312
2024-12-23,539.0,532.4000244140625,3949.0,696.5999755859375,512.2000122070312
2024-12-27,539.5999755859375,538.0,3982.0,697.4000244140625,517.0
2024-12-30,538.7999877929688,535.7999877929688,3966.0,699.5999755859375,514.5999755859375
